--- [PEEKING SUPABASE & SIMULATING GEO-NORMALIZATION] ---
Total records in staging.music_data_staging: 385

ID    | Artist Name                    | Raw City                                 | Raw Prov             | Normalized City                          | Normalized Prov      | Status    
-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
1     | Syifa Maharani                 | Jakarta, Indonesia                       | None                 | Jakarta                                  | DKI Jakarta          | CHANGED   
2     | Hindia                         | Jakarta                                  | None                 | Jakarta                                  | DKI Jakarta          | CHANGED   
3     | Nadhif Basalamah               | Jakarta                                  | None                 | Jakarta                                  | DKI Jakarta          | CHANGED   
4     | Denny Caknan                   | Ngawi, Jawa Timur                        | None                 | Ngawi                                    | Jawa Timur           | CHANGED   
6     | Idgitaf                        | Tangerang                                | None                 | Tangerang                                | Banten               | CHANGED   
7     | For revenge                    | Indonesia                                | None                 | None                                     | None                 | CHANGED   
8     | Nadin Amizah                   | Bandung                                  | None                 | Bandung                                  | Jawa Barat           | CHANGED   
10    | Lyodra                         | Medan                                    | None                 | Medan                                    | Sumatera Utara       | CHANGED   
11    | Bernadya                       | Surabaya                                 | None                 | Surabaya                                 | Jawa Timur           | CHANGED   
12    | .Feast                         | Depok                                    | None                 | Depok                                    | Jawa Barat           | CHANGED   
13    | Tulus                          | Oslo                                     | None                 | Oslo                                     | None                 | OK        
14    | NIKI                           | Jakarta                                  | None                 | Jakarta                                  | DKI Jakarta          | CHANGED   
15    | Rizky Febian                   | Bandung                                  | None                 | Bandung                                  | Jawa Barat           | CHANGED   
16    | Sheila On 7                    | Yogyakarta                               | None                 | Yogyakarta                               | DI Yogyakarta        | CHANGED   
17    | Raisa                          | Jakarta                                  | None                 | Jakarta                                  | DKI Jakarta          | CHANGED   
18    | Judika                         | Dairi Regency                            | None                 | Dairi                                    | Sumatera Utara       | CHANGED   
19    | VIRGOUN                        | Bekasi                                   | None                 | Bekasi                                   | Jawa Barat           | CHANGED   
20    | Raim LaOde                     | Liya Togo, Sulawesi Tenggara, Indonesia  | None                 | Liya Togo                                | Sulawesi Tenggara    | CHANGED   
21    | Sal Priadi                     | Malang                                   | None                 | Malang                                   | Jawa Timur           | CHANGED   
22    | Last Child                     | Jakarta                                  | None                 | Jakarta                                  | DKI Jakarta          | CHANGED   
24    | Tiara Andini                   | Jember                                   | None                 | Jember                                   | Jawa Timur           | CHANGED   
25    | Ayu Ting Ting                  | Depok                                    | None                 | Depok                                    | Jawa Barat           | CHANGED   
